"","entire","exp ID","Cell Type","trtmnt amnt","trtmnt type","data type"
"1","Aligned_Sequence",NA,NA,NA,NA,NA
"2","Reference_Sequence",NA,NA,NA,NA,NA
"3","Total Num Reads",NA,NA,NA,NA,NA
"4","By mutation(s)",NA,NA,NA,NA,NA
"5","n_deleted",NA,NA,NA,NA,NA
"6","n_inserted",NA,NA,NA,NA,NA
"7","n_substituted",NA,NA,NA,NA,NA
"8","B2KO1-54_H_p5.txt#Reads","54","H",0,"p5","#"
"9","B2KO1-54_H_p5.txt%Reads","54","H",0,"p5","%"
"10","B2KO1-55_WT.txt#Reads","55","WT",NA,NA,"#"
"11","B2KO1-55_WT.txt%Reads","55","WT",NA,NA,"%"
"12","B2KO1-51_D_p4.txt#Reads","51","D",0,"p4","#"
"13","B2KO1-51_D_p4.txt%Reads","51","D",0,"p4","%"
"14","B2KO1-2_D_0.2Gy_2.txt#Reads","2","D",0.2,"Gy","#"
"15","B2KO1-2_D_0.2Gy_2.txt%Reads","2","D",0.2,"Gy","%"
"16","B2KO1-3_D_0.5Gy_1.txt#Reads","3","D",0.5,"Gy","#"
"17","B2KO1-3_D_0.5Gy_1.txt%Reads","3","D",0.5,"Gy","%"
"18","B2KO1-4_D_0.5Gy_2.txt#Reads","4","D",0.5,"Gy","#"
"19","B2KO1-4_D_0.5Gy_2.txt%Reads","4","D",0.5,"Gy","%"
"20","B2KO1-5_D_1Gy_1.txt#Reads","5","D",1,"Gy","#"
"21","B2KO1-5_D_1Gy_1.txt%Reads","5","D",1,"Gy","%"
"22","B2KO1-6_D_1Gy_2.txt#Reads","6","D",1,"Gy","#"
"23","B2KO1-6_D_1Gy_2.txt%Reads","6","D",1,"Gy","%"
"24","B2KO1-7_D_2Gy_1.txt#Reads","7","D",2,"Gy","#"
"25","B2KO1-7_D_2Gy_1.txt%Reads","7","D",2,"Gy","%"
"26","B2KO1-8_D_2Gy_2.txt#Reads","8","D",2,"Gy","#"
"27","B2KO1-8_D_2Gy_2.txt%Reads","8","D",2,"Gy","%"
"28","B2KO1-9_D_5Gy_1.txt#Reads","9","D",5,"Gy","#"
